
### Table 2 in Simulation Results ###
                                 Model Method Parameter      Bias_50      SD_50      SE_50     CP_50     Bias_100     SD_100
1                Poisson with 3 groups   SCAD       d¯1 1.562560e-03 0.09002152 0.08489931 0.9684211 4.981787e-03 0.06003898
2                Poisson with 3 groups Oracle       d¯1 4.366378e-03 0.08909329 0.08387485 0.9700000 1.859304e-03 0.06420158
3                Poisson with 3 groups     LC       d¯1 3.464567e-03 0.08879271 0.08394914 0.9700000 1.723706e-03 0.06508979
4                Poisson with 3 groups   SCAD       d¯2 7.118274e-04 0.02191084 0.01954838 0.9263158 1.027469e-04 0.01388578
5                Poisson with 3 groups Oracle       d¯2 3.004211e-04 0.02280923 0.01955864 0.9200000 5.322891e-04 0.01305160
6                Poisson with 3 groups     LC       d¯2 2.116621e-04 0.02170155 0.01956445 0.9200000 1.859777e-04 0.01351711
7                Poisson with 3 groups   SCAD       d¯3 2.738176e-03 0.02319641 0.02204513 0.9368421 1.722635e-03 0.01539201
8                Poisson with 3 groups Oracle       d¯3 3.162164e-03 0.02316799 0.02204605 0.9400000 1.690810e-03 0.01546421
9                Poisson with 3 groups     LC       d¯3 2.717032e-03 0.02284321 0.02205232 0.9300000 2.040854e-03 0.01516937
10              Logistic with 3 groups   SCAD       d¯1 1.981161e-02 0.11505204 0.12176368 0.9560440 2.221925e-02 0.07285917
11              Logistic with 3 groups Oracle       d¯1 1.832441e-02 0.10296609 0.11693651 0.9700000 6.885797e-03 0.07143643
12              Logistic with 3 groups     LC       d¯1 9.592290e-03 0.12987759 0.11760621 0.9285714 6.824290e-03 0.08611411
13              Logistic with 3 groups   SCAD       d¯2 8.099700e-03 0.04019647 0.03935796 0.9450549 4.228243e-03 0.03270302
14              Logistic with 3 groups Oracle       d¯2 7.314669e-03 0.03488930 0.03945244 0.9700000 9.788014e-04 0.02743236
15              Logistic with 3 groups     LC       d¯2 7.620408e-03 0.03615193 0.03966015 0.9795918 2.850621e-03 0.02815867
16              Logistic with 3 groups   SCAD       d¯3 2.074028e-02 0.08513734 0.08448503 0.9340659 1.948400e-02 0.05892616
17              Logistic with 3 groups Oracle       d¯3 3.698857e-04 0.07656218 0.08284610 0.9700000 5.227107e-03 0.05665757
18              Logistic with 3 groups     LC       d¯3 4.369551e-03 0.08917666 0.08233795 0.9183673 5.425794e-03 0.06458032
19 Overdispersed Poisson with 3 groups   SCAD       d¯1 2.027766e-02 0.11971977 0.12238665 0.9777778 2.338062e-02 0.06626064
20 Overdispersed Poisson with 3 groups Oracle       d¯1 2.283641e-03 0.11844335 0.09446907 0.9000000 2.627743e-04 0.07704483
21 Overdispersed Poisson with 3 groups     LC       d¯1 2.598786e-02 0.13269266 0.08136942 0.7469880 9.017884e-03 0.08588690
22 Overdispersed Poisson with 3 groups   SCAD       d¯2 1.888192e-03 0.02902052 0.02765810 0.9444444 6.263753e-04 0.02019874
23 Overdispersed Poisson with 3 groups Oracle       d¯2 2.641881e-03 0.02865212 0.02551000 0.9400000 2.748122e-03 0.01950018
24 Overdispersed Poisson with 3 groups     LC       d¯2 3.981664e-03 0.02867801 0.01962735 0.7831325 3.314807e-03 0.01898620
25 Overdispersed Poisson with 3 groups   SCAD       d¯3 4.904422e-03 0.03307845 0.03113369 0.9222222 3.864918e-03 0.02303569
26 Overdispersed Poisson with 3 groups Oracle       d¯3 4.453629e-03 0.03451946 0.03736716 0.9500000 5.125348e-03 0.02305167
27 Overdispersed Poisson with 3 groups     LC       d¯3 3.604538e-03 0.03522914 0.02199052 0.7590361 6.646675e-03 0.02142273
28               Poisson with 5 groups   SCAD       d¯1 5.880874e-02 0.19385458 0.15346065 0.9444444 2.582763e-02 0.11645325
29               Poisson with 5 groups Oracle       d¯1 2.723809e-03 0.13526933 0.13763070 0.9500000 7.010515e-03 0.10493544
30               Poisson with 5 groups   SCAD       d¯2 3.728052e-02 0.11148865 0.08495322 0.9000000 1.044283e-02 0.06810465
31               Poisson with 5 groups Oracle       d¯2 1.169560e-02 0.08193188 0.08401685 0.9700000 3.439255e-03 0.06114082
32               Poisson with 5 groups   SCAD       d¯3 2.150417e-03 0.02269063 0.02098743 0.9222222 5.138925e-04 0.01517356
33               Poisson with 5 groups Oracle       d¯3 2.705651e-05 0.02171064 0.02096523 0.9400000 9.976965e-05 0.01490006
34               Poisson with 5 groups   SCAD       d¯4 1.153604e-03 0.02912943 0.03089911 0.9555556 1.111434e-03 0.02107129
35               Poisson with 5 groups Oracle       d¯4 2.362633e-04 0.02938213 0.03090017 0.9500000 1.730173e-03 0.02133958
36               Poisson with 5 groups   SCAD       d¯5 2.181225e-03 0.01928006 0.01892145 0.9444444 1.818751e-03 0.01396901
37               Poisson with 5 groups Oracle       d¯5 1.401472e-03 0.01953806 0.01889555 0.9400000 1.521354e-03 0.01399806
       SE_100    CP_100
1  0.05973830 0.9696970
2  0.05906310 0.9500000
3  0.05905328 0.9500000
4  0.01381833 0.9393939
5  0.01382684 0.9500000
6  0.01383026 0.9600000
7  0.01564420 0.9292929
8  0.01564095 0.9300000
9  0.01564368 0.9400000
10 0.08430111 0.9782609
11 0.08314228 0.9900000
12 0.08197623 0.9700000
13 0.02777031 0.9021739
14 0.02791720 0.9700000
15 0.02800565 0.9600000
16 0.06009228 0.9347826
17 0.05855913 0.9700000
18 0.05852426 0.9200000
19 0.08665427 0.9782609
20 0.06698207 0.9500000
21 0.05827109 0.8255814
22 0.01948316 0.9565217
23 0.01798109 0.9500000
24 0.01383236 0.8720930
25 0.02211426 0.8913043
26 0.02649229 0.9800000
27 0.01563277 0.8488372
28 0.09999107 0.9042553
29 0.09772084 0.9600000
30 0.05903594 0.9361702
31 0.05889005 0.9400000
32 0.01480345 0.9574468
33 0.01481793 0.9600000
34 0.02187022 0.9680851
35 0.02183435 0.9600000
36 0.01337190 0.9148936
37 0.01338343 0.9400000
