
### Table 3 in Simulation Results ###
                                 Model sample_size   Method          MSE        Bias1         SD1         SE1  CP1        Bias2
1                Poisson with 3 groups          50     SCAD 0.0030286335 1.549058e-03 0.014185216 0.014387765 0.95 1.926789e-03
2                Poisson with 3 groups          50       FE 0.0143877901 1.539518e-03 0.013965426 0.014500637 0.96 1.928846e-03
3                Poisson with 3 groups          50       RE 0.0131238091 8.763958e-04 0.014042339 0.014479516 0.97 1.300959e-03
4                Poisson with 3 groups          50   Oracle 0.0012566119 1.477761e-03 0.014199165 0.014392729 0.95 1.887991e-03
5                Poisson with 3 groups          50       LC 0.0013969772 1.247332e-03 0.014115637 0.014412277 0.97 1.694275e-03
6                Poisson with 3 groups         100     SCAD 0.0022539862 4.256965e-06 0.010176501 0.010181484 0.96 7.130902e-06
7                Poisson with 3 groups         100       FE 0.0148133161 1.238564e-04 0.010488864 0.010256963 0.96 1.512374e-04
8                Poisson with 3 groups         100       RE 0.0134339191 7.336717e-04 0.010503227 0.010241736 0.96 4.617212e-04
9                Poisson with 3 groups         100   Oracle 0.0005745768 2.955048e-05 0.010185198 0.010183414 0.96 3.922568e-05
10               Poisson with 3 groups         100       LC 0.0007678486 9.828689e-05 0.009683933 0.010188689 0.98 2.598247e-05
11              Logistic with 3 groups          50     SCAD 0.0340043283 8.430694e-04 0.034580241 0.035100293 0.95 3.461101e-03
12              Logistic with 3 groups          50       FE 0.0617002827 3.820668e-03 0.035188075 0.035510011 0.94 5.311116e-03
13              Logistic with 3 groups          50       RE 0.0516451346 1.238846e-03 0.034639479 0.035217743 0.94 2.635993e-03
14              Logistic with 3 groups          50   Oracle 0.0031248519 7.655661e-04 0.034846548 0.035061017 0.94 3.236565e-03
15              Logistic with 3 groups          50       LC 0.0363519870 8.063404e-04 0.034539780 0.035038710 0.94 3.722337e-03
16              Logistic with 3 groups         100     SCAD 0.0292456866 3.218194e-03 0.027067813 0.024835795 0.94 6.223183e-04
17              Logistic with 3 groups         100       FE 0.0618744732 6.199019e-04 0.027238295 0.025146266 0.94 2.573967e-03
18              Logistic with 3 groups         100       RE 0.0506848514 3.306298e-03 0.026816988 0.024938737 0.94 1.872614e-04
19              Logistic with 3 groups         100   Oracle 0.0016731920 2.920477e-03 0.027018840 0.024820286 0.94 5.567920e-04
20              Logistic with 3 groups         100       LC 0.0289856010 3.004748e-03 0.026853734 0.024860289 0.94 5.041923e-04
21 Overdispersed Poisson with 3 groups          50     SCAD 0.0080616152 3.452684e-03 0.020478801 0.020345207 0.94 1.095352e-03
22 Overdispersed Poisson with 3 groups          50   Oracle 0.0022030776 4.356419e-03 0.021982351 0.020927144 0.93 3.440639e-04
23 Overdispersed Poisson with 3 groups          50       FE 0.0299428032 3.817051e-03 0.020644821 0.014476567 0.84 1.251882e-03
24 Overdispersed Poisson with 3 groups          50       RE 0.0263137511 4.420369e-03 0.020660646 0.014453050 0.84 6.656121e-04
25 Overdispersed Poisson with 3 groups          50 FE.quasi 0.0299428032 3.817051e-03 0.020644821 0.020373754 0.94 1.251882e-03
26 Overdispersed Poisson with 3 groups          50 RE.quasi 0.0262284042 5.991963e-03 0.022127084 0.021067980 0.93 4.200129e-04
27 Overdispersed Poisson with 3 groups          50       LC 0.0109956873 3.680344e-03 0.020304319 0.014390686 0.85 6.687617e-04
28 Overdispersed Poisson with 3 groups         100     SCAD 0.0068898242 4.118727e-04 0.014757296 0.014383848 0.94 9.676007e-04
29 Overdispersed Poisson with 3 groups         100   Oracle 0.0009669334 8.521815e-04 0.016002855 0.014770298 0.94 6.444041e-04
30 Overdispersed Poisson with 3 groups         100       FE 0.0275469208 5.227722e-04 0.014785342 0.010259327 0.83 7.806174e-04
31 Overdispersed Poisson with 3 groups         100       RE 0.0242993796 1.075487e-03 0.014800182 0.010242631 0.83 2.195141e-04
32 Overdispersed Poisson with 3 groups         100 FE.quasi 0.0275469208 5.227722e-04 0.014785342 0.014411041 0.95 7.806174e-04
33 Overdispersed Poisson with 3 groups         100 RE.quasi 0.0243615334 2.067403e-03 0.015878621 0.014865475 0.96 6.804979e-04
34 Overdispersed Poisson with 3 groups         100       LC 0.0064280312 5.592544e-04 0.014747626 0.010193709 0.82 8.295298e-04
35               Poisson with 5 groups          50     SCAD 0.0143578748 8.794435e-04 0.012733759 0.012629171 0.96 1.468564e-03
36               Poisson with 5 groups          50       FE 0.0218016456 8.167506e-04 0.012939726 0.012690245 0.96 1.478345e-03
37               Poisson with 5 groups          50       RE 0.0195518491 8.022054e-04 0.012934806 0.012664853 0.96 1.475562e-03
38               Poisson with 5 groups          50   Oracle 0.0028939174 8.510016e-04 0.012732120 0.012604462 0.96 1.458608e-03
39               Poisson with 5 groups          50       LC 0.0376303609 6.045616e-04 0.012867068 0.012622863 0.95 1.413789e-03
40               Poisson with 5 groups         100     SCAD 0.0090948400 1.368429e-03 0.008299397 0.008921373 0.95 1.031521e-03
41               Poisson with 5 groups         100       FE 0.0226157760 1.432993e-03 0.008375301 0.008992615 0.96 9.325409e-04
42               Poisson with 5 groups         100       RE 0.0194313389 1.428167e-03 0.008380139 0.008974472 0.96 9.494486e-04
43               Poisson with 5 groups         100   Oracle 0.0016632055 1.348453e-03 0.008299143 0.008928083 0.95 1.050072e-03
44               Poisson with 5 groups         100       LC 0.0170086475 1.527830e-03 0.008140468 0.008935440 0.95 1.004844e-03
           SD2         SE2  CP2
1  0.014260529 0.014374357 0.95
2  0.014257763 0.014479485 0.96
3  0.014287690 0.014458616 0.96
4  0.014233590 0.014378964 0.95
5  0.013870793 0.014395985 0.97
6  0.010696565 0.010183525 0.92
7  0.010824848 0.010261073 0.95
8  0.010884700 0.010245455 0.94
9  0.010671273 0.010185140 0.91
10 0.010485853 0.010188824 0.93
11 0.032974167 0.035101919 0.95
12 0.033175379 0.035517060 0.96
13 0.032775504 0.035225745 0.96
14 0.033280127 0.035064239 0.96
15 0.032608723 0.035147535 0.96
16 0.022716221 0.024841800 0.96
17 0.023522444 0.025154737 0.96
18 0.023119759 0.024947280 0.96
19 0.022795361 0.024825200 0.96
20 0.022548127 0.024847130 0.96
21 0.018368052 0.020327581 0.95
22 0.019679421 0.020910512 0.95
23 0.018300269 0.014457426 0.90
24 0.018285050 0.014434684 0.91
25 0.018300269 0.020347076 0.95
26 0.019185735 0.021050534 0.97
27 0.017976971 0.014388737 0.89
28 0.013660315 0.014380900 0.96
29 0.013996941 0.014771004 0.96
30 0.013603861 0.010257323 0.85
31 0.013633686 0.010240874 0.83
32 0.013603861 0.014408212 0.95
33 0.013826523 0.014881519 0.95
34 0.013711053 0.010187735 0.83
35 0.013112388 0.012637098 0.93
36 0.013374634 0.012693380 0.91
37 0.013366494 0.012667769 0.91
38 0.013114047 0.012612004 0.93
39 0.012482316 0.012614700 0.97
40 0.009362783 0.008932994 0.95
41 0.009433314 0.009001263 0.95
42 0.009433122 0.008982953 0.95
43 0.009347985 0.008939076 0.95
44 0.009253471 0.008941960 0.95
